Model,Seed,Test AUC,Test Accuracy,Test F1 Score,Test Precision,Test Recall,Test Loss,Confusion Matrix,training_time_seconds,num_params
Classic MLP,4096,0.860041848551535,0.769,0.7413213885778276,0.7956730769230769,0.6939203354297694,0.48141523881267967,"[[438, 85], [146, 331]]",219.78700280189514,25
Classic MLP,8192,0.8424141727554799,0.749,0.7598086124401914,0.7089285714285715,0.8185567010309278,0.48657048027987665,"[[352, 163], [88, 397]]",203.5559184551239,25
Classic MLP,16384,0.8607937100405766,0.77,0.7374429223744292,0.7975308641975308,0.6857749469214437,0.465639597868767,"[[447, 82], [148, 323]]",57.2535936832428,25
Classic MLP,32768,0.8491213964855859,0.741,0.7443237907206318,0.7334630350194552,0.7555110220440882,0.476745223581073,"[[364, 137], [122, 377]]",223.49596238136292,25
QKAN (Noisy),42,0.8589463141025642,0.77,0.7648261758691206,0.751004016064257,0.7791666666666667,0.46888146018981935,"[[396, 124], [106, 374]]",1718.2836744785309,22
QKAN (Noisy),123,0.8614102564102564,0.772,0.7516339869281046,0.7876712328767124,0.71875,0.4686225171089172,"[[427, 93], [135, 345]]",1767.0369951725006,22
QKAN (Noisy),456,0.8574799679487181,0.767,0.7704433497536946,0.7308411214953271,0.8145833333333333,0.4714091863632202,"[[376, 144], [89, 391]]",1402.622230052948,22
QKAN (Noisy),789,0.8588100961538461,0.773,0.7551240560949298,0.7829977628635347,0.7291666666666666,0.469289258480072,"[[423, 97], [130, 350]]",1717.5520486831665,22
QKAN (Noisy),1024,0.8614022435897435,0.767,0.7753134040501446,0.7217235188509874,0.8375,0.46873189306259155,"[[365, 155], [78, 402]]",1716.046932220459,22
QKAN (Noisy),2048,0.8510136217948718,0.757,0.761998041136141,0.7190388170055453,0.8104166666666667,0.4784045104980469,"[[368, 152], [91, 389]]",1645.835883140564,22
QKAN (Noisy),4096,0.8618830128205128,0.776,0.7709611451942741,0.7570281124497992,0.7854166666666667,0.46546774911880495,"[[399, 121], [103, 377]]",1566.647601366043,22
QKAN (Noisy),8192,0.8590945512820514,0.769,0.764525993883792,0.7485029940119761,0.78125,0.46935802984237673,"[[394, 126], [105, 375]]",1698.6695656776428,22
QKAN (Noisy),16384,0.8584495192307693,0.773,0.7741293532338308,0.7409523809523809,0.8104166666666667,0.4688926811218262,"[[384, 136], [91, 389]]",1685.1705536842346,22
QKAN (Noisy),32768,0.8597876602564101,0.772,0.7760314341846758,0.7342007434944238,0.8229166666666666,0.46841527128219607,"[[377, 143], [85, 395]]",1413.5949239730835,22
Random Forest,42,0.8495112179487179,0.74,0.7579143389199255,0.6851851851851852,0.8479166666666667,0.508308478065827,"[[333, 187], [73, 407]]",2354.9037001132965,N/A
Random Forest,123,0.8649935387335916,0.783,0.7774358974358975,0.7863070539419087,0.768762677484787,0.4582842603692199,"[[404, 103], [114, 379]]",2340.9390861988068,N/A
Random Forest,456,0.8884021268168562,0.804,0.8067061143984221,0.8067061143984221,0.8067061143984221,0.4132235047754899,"[[395, 98], [98, 409]]",2362.480040550232,N/A
Random Forest,789,0.8693815951706138,0.778,0.7753036437246964,0.7629482071713147,0.7880658436213992,0.4518562089270126,"[[395, 119], [103, 383]]",2337.8964483737946,N/A
Random Forest,1024,0.8785082706766918,0.793,0.781414994720169,0.7838983050847458,0.7789473684210526,0.43050468060916125,"[[423, 102], [105, 370]]",2343.262995481491,N/A
Random Forest,2048,0.8721674097396641,0.782,0.7705263157894737,0.7803837953091685,0.760914760914761,0.4431609408315552,"[[416, 103], [115, 366]]",2378.01651930809,N/A
Random Forest,4096,0.8739172088138502,0.784,0.7782340862422998,0.7625754527162978,0.7945492662473794,0.4389068335773509,"[[405, 118], [98, 379]]",2343.853490829468,N/A
Random Forest,8192,0.860514463016715,0.776,0.7676348547717843,0.7724425887265136,0.7628865979381443,0.46575246456976993,"[[406, 109], [115, 370]]",2379.1429381370544,N/A
Random Forest,16384,0.8870400025686409,0.809,0.7952840300107181,0.803030303030303,0.7876857749469215,0.41935996028147593,"[[438, 91], [100, 371]]",2359.213933944702,N/A
Random Forest,32768,0.8755115020460081,0.789,0.7896311066799602,0.7857142857142857,0.7935871743486974,0.43721061496464436,"[[393, 108], [103, 396]]",2429.386294603348,N/A
